GEO.id,Geographic identifier code
GEO.id2,Id2
GEO.display-label,Geographic area name
NAICS.id,2012 NAICS code
NAICS.display-label,Meaning of 2012 NAICS code
OPTAX.id,Type of operation or tax status code
OPTAX.display-label,Meaning of Type of operation or tax status code
YEAR.id,Year
ESTAB,Number of establishments
RCPTOT,"Receipts/Revenue ($1,000)"
OPEX,"Operating expenses ($1,000)"
PAYANN,"Annual payroll ($1,000)"
PAYQTR1,"First-quarter payroll ($1,000)"
EMP,Number of paid employees for pay period including March 12
ADMIN_PCT,Percent of receipts/revenue from administrative records (%)
IMPUT_PCT,Percent of receipts/revenue estimated (%)
